District,Zone,Geographical Region,Region,District_code,VDC_name,VDC_code
Pyuthan,Rapti,Hill,Mid-Western,52,Bangesal,52003
Pyuthan,Rapti,Hill,Mid-Western,52,Baraula,52004
Pyuthan,Rapti,Hill,Mid-Western,52,Barjiwang,52005
Pyuthan,Rapti,Hill,Mid-Western,52,Belwaspur,52006
Pyuthan,Rapti,Hill,Mid-Western,52,Bhingri,52007
Pyuthan,Rapti,Hill,Mid-Western,52,Bijayanagar,52008
Pyuthan,Rapti,Hill,Mid-Western,52,Bijubar,52009
Pyuthan,Rapti,Hill,Mid-Western,52,Bijuli,52010
Pyuthan,Rapti,Hill,Mid-Western,52,Chuja,52011
Pyuthan,Rapti,Hill,Mid-Western,52,Dakhanwadi,52012
Pyuthan,Rapti,Hill,Mid-Western,52,Damri,52013
Pyuthan,Rapti,Hill,Mid-Western,52,Dangwang,52014
Pyuthan,Rapti,Hill,Mid-Western,52,Dharampani,52015
Pyuthan,Rapti,Hill,Mid-Western,52,Dharmawati,52016
Pyuthan,Rapti,Hill,Mid-Western,52,Dhobaghat(Udayapurkot),52017
Pyuthan,Rapti,Hill,Mid-Western,52,Dhuwang,52018
Pyuthan,Rapti,Hill,Mid-Western,52,Dungegadi,52019
Pyuthan,Rapti,Hill,Mid-Western,52,Gothiwang,52020
Pyuthan,Rapti,Hill,Mid-Western,52,Hansapur,52021
Pyuthan,Rapti,Hill,Mid-Western,52,Jumrikanda,52022
Pyuthan,Rapti,Hill,Mid-Western,52,Khaira,52023
Pyuthan,Rapti,Hill,Mid-Western,52,Khawang,52024
Pyuthan,Rapti,Hill,Mid-Western,52,Khung,52025
Pyuthan,Rapti,Hill,Mid-Western,52,Kochiwang,52026
Pyuthan,Rapti,Hill,Mid-Western,52,Ligha,52027
Pyuthan,Rapti,Hill,Mid-Western,52,Liwang,52028
Pyuthan,Rapti,Hill,Mid-Western,52,Lung,52029
Pyuthan,Rapti,Hill,Mid-Western,52,Majhakot,52030
Pyuthan,Rapti,Hill,Mid-Western,52,Maranthana,52031
Pyuthan,Rapti,Hill,Mid-Western,52,Markawang,52032
Pyuthan,Rapti,Hill,Mid-Western,52,Narikot,52033
Pyuthan,Rapti,Hill,Mid-Western,52,Nayagaun,52034
Pyuthan,Rapti,Hill,Mid-Western,52,Okharkot,52035
